Date,Amount Spent,Store,Product,Type of Transaction,Individual Price,Quantity Purchased,Sales Tax,Expenses,Bills,Total Spent,Total Sales Tax,Planned Spending,Name,Cost,Tax,Total,Type of Transaction,,Part Number,,Expected Cost
1/1/2016,$35.60,76 Gas,,,,,$0.00,$632.87,"$1,315.12","$1,947.99",$48.28,,MINI,$420.00,9%,$457.80,Car,Rims,36116859620,,"$1,718.93"
,,,Premium Gas,Gas,$3.30,10.791,,,,,,,MINI,$138.00,9%,$150.42,Car,Headlight Ring,51712355791,51712355798,
1/1/2016,$2.05,Smart & Final,,,,,$0.00,,,,,,MINI,$134.00,9%,$146.06,Car,Rearlight Rings,51712285495,51712285496,
,,,Snapple Tea,Food & Drink,$2.05,,,,,,,,MINI,$285.00,9%,$310.65,Car,Car Cover,82152353825,,
1/1/2016,$19.03,Kmart,,,,,$1.57,,,,,,G5 Tintshop,$600.00,9%,$654.00,Car,Window Tint,,,
,,,Gloves,Work,$5.49,1,,,,,,,,,,,,,,,
,,,Armorall Cleaner,Car,$3.79,1,,,,,,,,,,,,,,,
,,,Amorall Leather,Car,$3.79,1,,,,,,,,,,,,,,,
,,,Microfiber Towel,Car,$4.39,1,,,,,,,,,,,,,,,
1/1/2016,$21.79,Conroy's Flowers,,,,,$1.80,,,,,,,,,,,,,,
,,,Flower & Vase,Personal,$19.99,1,,,,,,,,,,,,,,,
1/2/2016,$16.49,Smart & Final,,,,,$0.00,,,,,,,,,,,,,,
,,,Rib Eye Steak,Food & Drink,$10.91,1.04,,,,,,,,,,,,,,,
,,,PB Cookie Mix,Food & Drink,$2.29,1,,,,,,,,,,,,,,,
,,,A-1 Steak Sauce,Food & Drink,$3.29,1,,,,,,,,,,,,,,,
1/2/2016,$26.75,Motorola,,,,,$1.80,,,,,,,,,,,,,,
,,,Frame Bumper,Personal,$19.95,1,,,,,,,,,,,,,,,
1/4/2016,$13.35,Walmart,,,,,$0.47,,,,,,,,,,,,,,
,,,Water,Food & Drink,$1.00,7,,,,,,,,,,,,,,,
,,,Diet Coke,Food & Drink,$4.58,1,,,,,,,,,,,,,,,
1/4/2016,$6.09,O'Reilly,,,,,$0.50,,,,,,,,,,,,,,
,,,Armorall Tire Foam,Car,$5.59,1,,,,,,,,,,,,,,,
1/5/2016,$7.62,Las Palmitas,,,,,$0.63,,,,,,,,,,,,,,
,,,Chilaquiles Green,Food & Drink,$5.99,1,,,,,,,,,,,,,,,
,,,Diet Coke,Food & Drink,$1.00,1,,,,,,,,,,,,,,,
1/5/2016,$96.20,Paypal,,,,,,,,,,,,,,,,,,,
,,,Monthly Bill,Bill,$96.20,1,,,,,,,,,,,,,,,
1/5/2016,$42.99,Time Warner Cable,,,,,,,,,,,,,,,,,,,
,,,Monthly Bill,Bill,$42.99,1,,,,,,,,,,,,,,,
